titre,score,genre,année,durée,description,acteurs,pays
Raging Bull,8.1,Biography,1980,2h 9m,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Robert De Niro,Cathy Moriarty,Joe Pesci",United States
"Three Billboards Outside Ebbing, Missouri",8.1,Comedy,2017,1h 55m,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Frances McDormand,Woody Harrelson,Sam Rockwell",United Kingdom
Inside Out,8.1,Animation,2015,1h 35m,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Amy Poehler,Bill Hader,Lewis Black",United States
The Secret in Their Eyes,8.2,Drama,2009,2h 9m,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"Ricardo Darín,Soledad Villamil,Pablo Rago",Argentina
"Lock, Stock and Two Smoking Barrels",8.1,Action,1998,1h 47m,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","Jason Flemyng,Dexter Fletcher,Nick Moran",United Kingdom
Gone with the Wind,8.2,Drama,1939,3h 58m,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,"Clark Gable,Vivien Leigh,Thomas Mitchell",United States
V for Vendetta,8.2,Action,2005,2h 12m,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","Hugo Weaving,Natalie Portman,Rupert Graves",United States
Chinatown,8.1,Drama,1974,2h 10m,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","Jack Nicholson,Faye Dunaway,John Huston",United States
Howl's Moving Castle,8.2,Animation,2004,1h 59m,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Chieko Baishô,Takuya Kimura,Tatsuya Gashûin",Japan
The Elephant Man,8.2,Biography,1980,2h 4m,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","Anthony Hopkins,John Hurt,Anne Bancroft",United States
Finding Nemo,8.2,Animation,2003,1h 40m,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Albert Brooks,Ellen DeGeneres,Alexander Gould",United States
